y,F1,F2,F3,F4
1,63,0.2612915,0.36408997,-0.08929443
1,72,0.21852112,0.32255554,-0.117385864
1,79,0.09635925,0.2602539,-0.12350464
1,88,-0.0209198,0.16738892,-0.121032715
1,98,-0.09664917,0.05987549,-0.11859131
1,112,-0.13330078,-0.031723022,-0.11126709
1,119,-0.12841797,-0.09403992,-0.1002655
1,128,-0.095443726,-0.13557434,-0.09049988
1,138,-0.047790527,-0.15145874,-0.07461548
1,148,0.005966187,-0.15390015,-0.05506897
1,157,0.056045532,-0.14413452,-0.033081055
1,167,0.10368347,-0.11236572,-0.017196655
1,178,0.14033508,-0.07937622,-0.008651733
,,,,
1,5,-0.090545654,-0.28097534,-0.05140686
1,15,-0.39720154,-0.14169312,0.10984802
1,23,-0.41552734,-0.025634766,0.12817383
1,32,-0.1723938,0.057434082,0.059768677
1,41,0.060928345,0.16371155,0.039001465
1,51,0.1818695,0.25901794,0.021881104
1,62,0.2295227,0.30545044,-0.012313843
1,71,0.2087555,0.29200745,-0.03919983
1,80,0.13301086,0.23704529,-0.045303345
1,90,0.03529358,0.15029907,-0.04286194
1,100,-0.04901123,0.050109863,-0.03552246
1,109,-0.10520935,-0.029281616,-0.029418945
1,119,-0.13085938,-0.07571411,-0.028198242
1,129,-0.12109375,-0.09892273,-0.025756836
1,138,-0.08932495,-0.1038208,-0.02331543
1,148,-0.055114746,-0.10258484,-0.015975952
1,158,-0.028244019,-0.08425903,-9.16E-05
1,167,-0.0050354,-0.05128479,0.006011963
,,,,
1,3,-0.3666687,-0.3481598,0.10496521
1,11,-0.5926819,-0.14657593,0.21490479
1,24,-0.4143219,-0.014648438,0.14649963
1,31,-0.10643005,0.10386658,0.07196045
1,40,0.08781433,0.23704529,0.029220581
1,47,0.18920898,0.35430908,-0.013534546
1,57,0.23320007,0.39463806,-0.06484985
1,67,0.2087555,0.3591919,-0.10762024
1,77,0.13179016,0.28834534,-0.121032715
1,87,0.034057617,0.19548035,-0.10882568
